ตรวจสภาพความเสียหาย/รอยขีดข่วนของตัวถัง/กระจก/กันชน/สภาพเสื้อชูชีพ,GPS
,ป้ายภาษีประจำปี
,รายละเอียดสภาพสี
อุปกรณ์ประจำรถ,กุญแจประจำรถยนต์
,กุญแจธรรมดา
,กุญแจรถยนต์ Immobilere
,กุญแจรถยนต์ Immobilere รีโมทในตัว
,รีโมท
,ยางอะไหล่
,เครื่องมือ (แม่แรง/มือหมุน)
,เครื่องมือ (คีมเลื่อนคอ/ไข่ควง)
,สมุดคู่มือ/สมุดรับประกัน/บัตรรับประกัน
,ล็อคเกียร์/3 LOCK /ล็อคพวงมาลัย
,วิทยุ
,ฝาครอบล้อ
,ผ้ายางรองพื้น
,เบาะแค็ป/เบาะหลัง
ตรวจสภาพภายนอก,ยาง หน้าหลัง
,ลมยาง/สภาพดอกยาง(ทั้ง 5 เส้น)
,สภาพกระทะล้อ (เหล็ก/แม็ก)
,การเปิด - ปิด ประตู/ฝากระโปรง/ฝาผิดท้าย
,เสาวิทยุ
,ยางคันโคลน
การตรวจสภาพบริเวณห้องเครื่องยนต์ (เปิดฝากระโปรง),ระดับน้ำมันเครื่อง
,ระดับน้ำมันในหม้อน้ำ/หม้อพักน้ำ
,ระดับน้ำมันเบรก/น้ำมันคลัทช์
,แบตเตอรี่
,สภาพสายพานเครื่อง
,สภาพกรองอากาศ
,สัญญาณไฟหรี่/ไฟต่ำ-สูง/ไฟเลี้ยว/ไฟฉุกเฉิน/ไฟเบรก
การตรวจสภาพภายในห้องโดยสาร,การปรับเบาะ/พนักพิง/หมอนพิง
,การทำงานของใบปัดน้ำฝน/น้ำฉีดกระจก
,การล็อกคอพวงมาลัย/ปรับระดับพวงมาลัย
,สัญญาณไฟเตือนบนหน้าปัด
,การทำงานของระบบแอร์/สวิทช์ต่าง ๆ แอร์
,การทำงานของวิทยุ-เทป/วิทยุ CD
,การทำงานของที่จุดบุหรี่
,การทำงานจองกระจกมองข้าง
,การทำงานของกระจกประตู
,การทำงานของแตร/นาฬิกา
,ระบบเบรกมือ
,การทำงานของเข็มขัดนิรภัย
,รอบเดินปกจากมาตราวัด
,การทำงานของรีโมท
,สภาพฟิล์มกรองแสง
ตรวจที่ห้องเครื่องยนต์ (เครื่องยนต์ทำงาน),ระดับน้ำมันเกียร์อัตโนมัติ
,ระดับน้ำมันพวงมาลัยพาเวอร์
,น้ำยาแอร์/การทำงานของแอมแอร์
,การรั่วของน้ำที่ท่อน้ำ/หม้อน้ำ
,การรั่วของน้ำมันเชื้อเพลิง/ท่อน้ำมันเชื้อเพลิง
,เสียงเครื่องยนต์
,การทำงานของพัดลมไฟฟ้า
การเปลี่ยนอะไหล่ (เฉพาะรถซ่อมอุบัติเหตุ),สภาพอะไหล่ที่เปลี่ยน
,การประกอบอะไหล่
ตรวจสอบระบบส่งกำลัง/ระบบช่วงล่าง (เฉพาะรถซ่อมอุบัติเหตุ),ทดสอบศูนย์ล้อ
,การเข้าเกียร์
,ประสิทธิภาพของระบบเบรก
,ตรวจสอบระบบช่วงล่าง
,ตรวจสอบระบบบังคับเลี้ยว
