"id","Name"
1,ตู้นั่ง 4 ตอน
2,นั่งสองตอนท้ายบรรทุก
3,เก๋ง
4,นั่งสองตอนท้ายบรรทุก / หลังคาทรงเตี้ย
5,กระบะ / หลังคาทรงเตี้ย
6,กระบะ /หลังคาทรงเตี้ย
7,กระบะ / หลังคาทรงสูง
8,กระบะ / หลังคาอลูมิเนียมทึบสูง
9,ตู้เย็น / เสริมแหนบ
10,นั่งสองตอนท้ายบรรทุก / หลังคาทรงสูง
11,นั่งสามตอน
12,ตู้แครี่บอย Cool Box
13,ตู้ไอศครีม
14,รถกระเช้า
15,นั่งสองตอนท้ายบรรทุก 
16,กระบะบรรทุก
17,ตู้บรรทุก (ตู้แครี่บอย) + เสริมแหนบ
18,กระบะ / หลังคาทรงเตี้ยเปิดปีกนก
19,นั่งสองตอนท้ายบรรทุก / หลังคาทรงสูง + เบาะนั่ง 2 แถว
20,กระบะ / คอกสแตนเลส
21,ตู้บรรทุก 
