"id","Name","Asset_no"
1,กระบะบรรทุก,61050002
2,กระบะบรรทุก ( มีหลังคา ),61050002
3,กระบะบรรทุก ( มีหลังคาฝาปิดด้านข้าง-ท้าย),61050002
4,กระบะบรรทุก ( ไม่มีหลังคา ),61050002
5,กระบะบรรทุก ( เสริมกระบะข้าง ลิฟท์ยกของ),61050002
6,กระบะบรรทุก ( เสริมกระบะข้าง),61050002
7,กระบะบรรทุกมีข้างเสริมมีหลังคา,61050002
8,กระบะบรรทุกมีข้างเสริมมีหลังคามีเครื่องทุ่นแรง,61050002
9,ม.2 (จ),61050007
10,เก๋งสองตอน,61050001
11,ตู้นั่งสี่ตอน,61050003
12,ตู้นั่งสามตอน,61050003
13,ตู้บรรทุกม,61050002
14,นั่งสองตอนท้ายบรรทุก,61050001
15,นั่งสองตอนท้ายบรรทุก (มีหลังคา),61050001
16,นั่งสองตอนท้ายบรรทุก (เสริมกระบะข้าง),61050001
17,นั่งสองตอนแวน,61050001
18,นั่งสองตอนสองแถว,61050001
19,นั่งสองแถว,""
20,นั่งสามตอน,61050001
21,บรรทุกเฉพาะกิจ (บรรทุกรถยนต์),""
22,รถกึ่งพ่วง ตู้บรรทุก,""
23,รถโดยสารไม่ประจำทาง,61050008
24,ลากจูง,61050004
25,ตู้บรรทุกติดตั้งเครื่องทำความเย็น ลิฟท์ขนถ่ายสินค้า,""
26,ม.2 (จ) ที่ไม่ใช่รถตู้โดยสาร,""
27,กระบะบรรทุก(ติดตั้งเครื่องทุ่นแรงด้านท้าย),""
28,บรรทุกติดตั้งเครนไฮโดรลิกพร้อมกระเช้า,""


