"id","RegionID","Province","ProvinceEng","Active","TelCode"
1,1,กรุงเทพมหานคร,BANGKOK,1,"02"
2,1,สมุทรปราการ,Samutprakarn,1,"02"
3,1,นนทบุรี,Nontaburi,1,""
4,1,ปทุมธานี,,1,
5,1,นครปฐม,,1,
6,1,สมุทรสาคร,Samuthsakorn,1,""
7,2,จันทบุรี,,1,
8,2,ฉะเชิงเทรา,,1,
9,2,ชลบุรี,,1,
10,2,ตราด,,1,
11,2,ปราจีนบุรี,,1,
13,2,สระแก้ว,,1,
14,3,กำแพงเพชร ,Kampangphet,1,
15,3,ชัยนาท,,1,
16,3,นครนายก,,1,
17,3,นครสวรรค์,,1,
18,3,พิษณุโลก,,1,
19,3,เพชรบูรณ์,,1,
21,3,ลพบุรี,,1,
22,3,สมุทรสงคราม,Samuthsongkram,1,
23,3,สระบุรี,Saraburi,1,
24,3,สิงห์บุรี,Singburi,1,
25,3,สุโขทัย,Sukhothai,1,
26,3,สุพรรณบุรี,,1,
27,3,พระนครศรีอยุธยา,,1,
28,3,อ่างทอง,,1,
29,3,อุทัยธานี,,1,
30,4,เชียงราย,,1,
31,4,เชียงใหม่,,1,
32,4,น่าน,,1,
33,4,พะเยา,,1,
34,4,พิจิตร,,1,
35,4,แม่ฮ่องสอน,,1,
36,4,ลำปาง,,1,
37,4,ลำพูน,,1,
38,4,อุตรดิตถ์,,1,
39,5,กาฬสินธุ์ ,Khalasin,1,
40,5,ขอนแก่น,,1,
41,5,ชัยภูมิ,,1,
42,5,นครพนม,,1,
43,5,นครราชสีมา,,1,
44,5,บุรีรัมย์,,1,
45,5,มหาสารคาม,,1,
46,5,มุกดาหาร,,1,
47,5,ยโสธร,,1,
48,5,ร้อยเอ็ด,,1,
49,5,เลย,,1,
50,5,ศรีสะเกษ,Srisaket,1,
51,5,สกลนคร,Sakolnakorn,1,
52,5,สุรินทร์,,1,
53,5,หนองคาย,,1,
54,5,หนองบัวลำภู,,1,
55,5,อำนาจเจริญ,,1,
56,5,อุดรธานี,,1,
57,5,อุบลราชธานี,,1,
58,6,กระบี่ ,Khabee,1,
59,6,ชุมพร,,1,
60,6,ตรัง,,1,
61,6,นราธิวาส,,1,
62,6,นครศรีธรรมราช,,1,
63,6,ปัตตานี,,1,
64,6,พังงา,,1,
65,6,พัทลุง,,1,
66,6,ภูเก็ต,,1,
67,6,ยะลา,,1,
68,6,ระนอง,,1,
69,6,สงขลา,Songkla,1,
70,6,สตูล,,1,
71,6,สุราษฎร์ธานี,,1,
72,7,กาญจนบุรี ,Khanjanaburee,1,
73,7,ตาก,Tak,1,""
74,7,ประจวบคีรีขันธ์,,1,
75,7,เพชรบุรี,,1,
76,7,ราชบุรี,,1,
78,1,สมุทรสงคราม,"",1,""
79,2,ระยอง,Rayong,1,""
80,4,เลย,"",1,""
81,4,แพร่,"",1,""
82,1,Hong Kong,Hong Kong,1,""
83,3,นครปฐม,"",1,""
84,4,นครสวรรค์,"",1,""
85,3,เพชรบุรี,"",1,""
86,3,สมุทรสาคร,"",1,""
87,3,ประจวบคีรีขันธุ์,"",1,""
88,3,กาญจนบุรี,"",1,""
89,3,ราชบุรี,"",1,""
90,3,อยุธยา,"",1,""
91,4,เพชรบูรณ์,"",1,""
92,4,สุโขทัย,"",1,""
93,4,พิษณุโลก,"",1,""
94,4,อุทัยธานี,"",1,""
95,4,ชัยนาท,"",1,""
96,4,กำแพงเพชร,"",1,""
97,4,ตาก,"",1,""
98,5,สระแก้ว,"",1,""
99,5,บึงกาฬ,"",1,""
